GN Division
Midellawita
Bollete North
Kuda Bollatha
Bollete South
Bollete West
Wawallagara
Bulugahagoda East
Bulugahagoda West
Galahitiyawa North
Galahitiyawa South
Galahitiyawa East
Horagolla North
Horagolla South
Thibbotugoda
Mabima
Welikada
Makewita North
Makewita South
Gonagaha1
Gonagaha2
Kiridewita
Ambanwita
Makilangamuwa
Rathmalwita
Pahalagama
Kosovita
Akarawita
Medagama1
Medagama2
Medagama 3
Medagama 4
Ihalagama West
Ihalagama East
Aluthgama West
Aluthgama North
Aluthgama East
Indigolla
Baduwathugoda
Karanayakamulla
Keselwathugoda North
Keselwathugoda South
Boraliyawatta
Thittalapitigoda
Aluthgama Bogamuwa North
Aluthgama Bogamuwa South
Mahipalagoda
Moranna
Veediyawatta
Galthotamulla
Yakkala North
Yakkala West
Papolgahadeniya
Yakkala South
Yakkala East
Henarathgoda
Godagedara
Mudungoda North
Mudungoda South
Mudungoda West
Moragoda1
Moragoda11
Bandiyamulla North
Bandiyamulla East
Bandiyamulla West
Kidagammulla
Oruthota North
Oruthota South
Ihala Yagoda North
Ihala Yagoda South
Pahala Yagoda
Mahena
Ganemulla North
Neduna
Ganemulla South
Kossinna East
Kossinna West1
Kossinna West11
Amunugoda North
Amunugoda South
Balummahara
Rathupaswala
Galloluwa
Upper Imbulgoda North
Upper Imbulgoda South
Weliweriya west
Nedungamuwa
Weliweriya East
Weliweriya North
Weliweriya South
Ambaraluwa North1
Ambaraluwa North11
Ambaraluwa South1
Ambaraluwa South11
Pahala Imbulgoda East
Pahala Imbulgoda West
Pahala Imbulgoda South
Parakandeniya South
Parakandeniya North1
Parakandeniya North11
Katuwalamulla North
Katuwalamulla South
